book_img,book_title,book_price,book_score,book_page,book_genre,color,atmosphere,art_reputation,keyword
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090643.jpg,2022 제5회 한국과학문학상 수상작품집,"5,400",9.77,300,sf,"['Beige', 'Black', 'Brown']","['mysterious', 'calm', 'luxurious']",395,"['우주', '신예', '불안']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788956608181.jpg,상상범,"10,800",8.06,600,sf,"['Black', 'Green', 'White']","['mysterious', 'dreamlike', 'emotional']",392,"['상상', '금지', '모래']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791166688072.jpg,마른하늘에 우주선,"12,600",10.0,700,sf,"['Black', 'Purple', 'Blue']","['mysterious', 'emotional', 'colorful']",418,"['소용', '사원', '중소']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193078259.jpg,오렌지와 빵칼,"10,800",9.61,600,sf,"['White', 'red', 'Purple']","['calm', 'dreamlike', 'emotional']",401,"['검열', '범위', '정의']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193078068.jpg,라스트 젤리 샷,"15,120",9.38,840,sf,"['Beige', 'Purple', 'Blue']","['calm', 'luxurious', 'emotional']",350,"['젤리', '작가', '공모전']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932323510.jpg,우리가 기대하는 멸망들,"13,500",10.0,750,sf,"['Beige', 'Brown', 'Purple']","['mysterious', 'dreamlike', 'emotional']",392,"['캠프', '문명', '멸망']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191193091.jpg,뉴 러브,"14,400",9.17,800,sf,"['Pink', 'red', 'White']","['mysterious', 'emotional', 'colorful']",392,"['사랑', '이야기', '수록']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788934988731.jpg,로드킬,"12,420",9.38,690,sf,"['Pink', 'Purple']","['mysterious', 'dreamlike', 'emotional']",413,"['아밀', '어워드', '억압']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788934975106.jpg,빵 좋아하는 악당들의 행성,"13,320",9.44,740,sf,"['Black', 'Brown', 'Orange']","['mysterious', 'dreamlike', 'emotional']",398,"['인류', '곽재식', '외계인']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791164052011.jpg,미래과거시제,"15,120",9.88,840,sf,"['Beige', 'Brown']","['mysterious', 'luxurious', 'dreamlike']",391,"['배명훈', '로봇', '존재']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191193619.jpg,빌런,"11,700",10.0,650,sf,"['Beige', 'Purple']","['mysterious', 'dreamlike', 'emotional']",392,"['빌런', '이용', '가운데']"
